time,seconds_elapsed,acc_z,acc_y,acc_x,gry_z,gry_y,gry_x,gravity_z,gravity_y,gravity_x,mag_z,mag_y,mag_x,qz,qy,qx,qw,roll,pitch,yaw,tacc_z,tacc_y,tacc_x,activity
1.70E+18,5.007298584,0.984565973,1.424111366,2.689744473,0.876620173,0.12356703,-0.976818681,2.134944677,9.223712921,2.556463957,12.44399929,-32.20800018,21.00839996,0.704838037,0.498475403,0.393426001,0.316135377,-0.891156912,-1.257882476,-2.967166662,1.33399868,11.5887394,-2.414058924,walk
1.70E+18,5.017150146,3.281117439,0.499781609,1.847813368,0.74180162,-0.003262276,-1.377679229,2.266816854,9.172225952,2.62720561,12.54160023,-32.01279831,21.35000038,0.700200379,0.497346401,0.398657501,0.32161805,-0.904444695,-1.262708664,-2.963053703,-0.553639352,10.75753212,-3.087040424,walk
1.70E+18,5.027007568,5.663114548,0.640714645,0.927280903,0.44646579,-0.125298038,-1.493323565,2.410828352,9.122673988,2.671163082,12.56599998,-31.85419846,21.56959915,0.69572103,0.496803433,0.402986884,0.326741785,-0.915165067,-1.268376231,-2.958482504,-1.466501236,9.209974289,-3.118146896,walk
1.70E+18,5.036859619,7.152839661,1.795419693,-0.086668015,0.085618101,-0.106656455,-1.256642103,2.536163807,9.086353302,2.678886414,12.65139961,-31.6711998,21.67939949,0.691661298,0.49753052,0.405665874,0.330912679,-0.922124326,-1.275531888,-2.954601049,-1.682154298,7.231409073,-2.330011129,walk
1.70E+18,5.046713623,6.839047432,2.852807045,-1.423537135,-0.235216767,0.04627106,-0.74552995,2.618248463,9.071401596,2.650444031,12.87099934,-31.45159912,21.9843998,0.688043654,0.499948323,0.406482548,0.333795637,-0.926015735,-1.284643054,-2.953095675,-1.341775298,5.592624664,-0.988534868,walk
1.70E+18,5.056565918,4.7654562,3.08573246,-2.787158251,-0.464907646,0.106523305,-0.143739879,2.643328667,9.079568863,2.597040176,13.27359962,-31.28079987,22.26499939,0.684701324,0.503917336,0.405857652,0.335456342,-0.929001689,-1.295559287,-2.955299854,-0.826720238,5.118546963,0.158823609,walk
1.70E+18,5.066421631,1.706386328,2.755442619,-3.925213814,-0.631749749,-0.024566937,0.380687654,2.611477852,9.107631683,2.530143261,13.59079933,-31.04899979,22.5821991,0.68142873,0.508837581,0.40467307,0.336123347,-0.934785068,-1.307407498,-2.962953329,-0.405284345,5.769992828,0.80069828,walk
1.70E+18,5.07627417,-1.252629876,2.259677887,-4.920084953,-0.729285181,-0.219105124,0.735676587,2.536508799,9.148565292,2.457696676,13.76159954,-30.81719971,22.91160011,0.678063512,0.514090121,0.403692365,0.336115599,-0.946314216,-1.319320083,-2.977100372,-0.196809664,6.895815849,1.193719387,walk
1.70E+18,5.086121094,-3.039425135,1.384933472,-5.523907661,-0.710643589,-0.398197412,0.907312214,2.438095093,9.193094254,2.39020896,13.76159954,-30.58539963,23.13119888,0.674493492,0.519175708,0.403296769,0.335956603,-0.963600338,-1.330811858,-2.996196032,-0.077168532,8.053044319,1.62502563,walk
1.70E+18,5.095973145,-3.839955091,-0.197719574,-5.506027699,-0.544334054,-0.631683171,0.945660591,2.329499245,9.233180046,2.343547106,13.84700012,-30.39019966,23.41180038,0.670615017,0.52372849,0.403704941,0.336164117,-0.985605717,-1.341658711,-3.017961502,-0.045762733,9.131011009,2.044068813,walk
1.70E+18,5.105838867,-3.940320253,-2.198509216,-4.699552536,-0.298132092,-0.923756778,0.899855614,2.218681335,9.264374733,2.327918053,13.96899986,-30.18280029,23.68019867,0.666249454,0.527387261,0.405249536,0.33726427,-1.011765957,-1.351704836,-3.040393591,-0.110668048,10.05553818,2.242972136,walk
1.70E+18,5.115692139,-3.492484331,-3.847260475,-3.362659931,-0.14140968,-1.203580141,0.760709524,2.115656853,9.286546707,2.335474014,14.0788002,-29.96319962,23.98519897,0.661318839,0.529978037,0.40807271,0.339495689,-1.041607618,-1.360872388,-3.062374353,-0.352642238,10.88913727,1.991426587,walk
1.70E+18,5.125542725,-2.887516737,-4.325756073,-2.223274231,-0.172301441,-1.429609299,0.528355598,2.029854536,9.302906036,2.346488953,14.2251997,-29.84119987,24.13159943,0.655871809,0.531499326,0.412097365,0.342806697,-1.074607015,-1.369110703,-3.083575487,-0.63050878,11.55284691,1.322931767,walk
1.70E+18,5.135395752,-2.392537594,-3.677987099,-1.582963824,-0.289610237,-1.634799838,0.310914874,1.959728003,9.316864967,2.350723267,14.24959946,-29.70699883,24.32679939,0.650082171,0.531929135,0.417142689,0.34703964,-1.109414101,-1.376197934,-3.103170872,-0.932303548,11.71795177,0.664307415,walk
1.70E+18,5.145235352,-2.119362831,-2.558413506,-1.185487509,-0.385547787,-1.77760756,0.190943018,1.897356749,9.33044529,2.34802413,14.27400017,-29.6093998,24.44879913,0.644592285,0.531668365,0.422323853,0.35138604,-1.142709494,-1.38192153,-3.120664835,-1.217348576,11.413764,0.333798766,walk
1.70E+18,5.155086914,-1.938693285,-1.411536217,-0.742610931,-0.45851624,-1.763759613,0.158453405,1.838134289,9.344906807,2.337602854,14.34719944,-29.51179886,24.52199936,0.640267074,0.531466663,0.42633152,0.354743063,-1.169918895,-1.386347413,-3.135602474,-1.346560955,10.96570778,0.309870541,walk
1.70E+18,5.164952148,-1.848995805,-0.348708153,-0.300224781,-0.537942648,-1.538329601,0.194138721,1.780650377,9.361609459,2.315154076,14.60339928,-29.38979912,24.6439991,0.637400806,0.532089531,0.428463876,0.356398195,-1.191194415,-1.39008522,3.132549524,-1.224527001,10.3788681,0.453439891,walk
1.70E+18,5.174805176,-1.856374264,0.554578781,-0.059885502,-0.647728264,-1.095925093,0.294337213,1.723981142,9.382268906,2.274049044,14.70099926,-29.24339867,24.70499992,0.635373354,0.533722699,0.429270208,0.356606066,-1.212447286,-1.393857002,3.112804413,-0.944267631,9.672387123,0.649950445,walk
